cycle_classifier,state_classifier,Abnormal mean F1-score,Abnormal mean Precision,Abnormal mean Recall,Normal mean F1-score,Normal mean Precision,Normal mean Recall,Overall mean F1-score,Overall mean Precision,Overall mean Recall,Abnormal std F1-score,Abnormal std Precision,Abnormal std Recall,Normal std F1-score,Normal std Precision,Normal std Recall,Overall std F1-score,Overall std Precision,Overall std Recall
RF,RF,74.4762349226978,74.9903095243642,74.0093457943925,96.2634822388945,94.8251616250921,97.748490945674,92.4713584288052,91.4239482200647,93.5430463576159,1.33233310203419,1.98995229051905,1.63855524985855,0.306246935144956,0.358275296971711,0.537411703313295,0.496963222608474,0.491334189342685,0.502722730155264
RF,DT,68.657011878495,71.1494132071997,66.4299065420561,95.3826539682771,93.4503121855846,97.4024144869215,90.8625204582651,89.8333333333333,91.9155629139073,3.04342671914447,2.82426829898308,4.14532075532833,0.54219818403307,0.853657630001715,0.611017734378071,0.907441196261112,0.897162736109287,0.917957898866786
RF,ET,76.5088319371852,75.5909617054591,77.4766355140187,96.569392793288,95.4967726657609,97.6680080482898,93.013093289689,91.9595469255664,94.091059602649,1.36424678920972,1.37254385697624,1.98474397958835,0.267012881417661,0.418957532728726,0.343934930403573,0.445036443256063,0.439995577393937,0.45019415037989
RF,MLP,73.8106717967934,74.0767778275306,73.6261682242991,96.0586808561407,94.6950112556413,97.466800804829,92.1751227495908,91.131067961165,93.2433774834437,1.96816623557861,2.24214798171293,2.90646692813925,0.396946878481556,0.5806132557345,0.639506766162064,0.647131372470269,0.639801405468182,0.654631239369762
DT,RF,73.9845519354743,73.6074931804874,74.4392523364486,96.0403070612944,94.8478519303001,97.2676056338028,92.1554828150573,91.1116504854369,93.2235099337748,1.51891530603657,2.04309911539586,2.44200796830914,0.315816277477665,0.507661622347643,0.604412627402416,0.518206846386116,0.512337189550029,0.524212554870725
DT,DT,69.4672400742664,68.6630126281974,70.4392523364486,95.2568512396482,94.2302279508861,96.3158953722334,90.6808510638298,89.6537216828479,91.7317880794702,3.2252305151427,3.65606437831961,4.1746628952657,0.695228880637906,0.847731480524127,1.08267260104523,1.12866036795934,1.11587618903424,1.14174086891251
DT,ET,75.8050668903086,73.046893703448,78.8317757009346,96.3682761247522,95.8462077435582,96.8993963782696,92.6252045826514,91.5760517799353,93.6986754966887,1.53035176150331,1.61052591120292,2.47398906391571,0.296262116487763,0.523599745586195,0.466779122510389,0.499554474295142,0.493896090282092,0.505344012904524
DT,MLP,73.146189441048,72.4200485797568,74,95.8504160704438,94.7667610300314,96.9657947686117,91.8330605564648,90.7928802588997,92.8973509933775,2.13427612871546,2.26879510999375,3.4828103139228,0.451363668147822,0.74182845916294,0.690982117726561,0.712464774457574,0.704394785102878,0.720721816545659
ET,RF,74.3928020941383,74.7312124490134,74.0841121495327,96.2384441223985,94.8401981173723,97.6800804828974,92.4288052373159,91.3818770226537,93.5,1.43879908820575,1.74071192975706,1.77744626473968,0.309586649753689,0.403013657606894,0.417673476964377,0.49891060763176,0.493259516606807,0.504692684210275
ET,DT,69.1135563968684,71.4361113280351,67.0280373831776,95.460763899274,93.5684366696076,97.4366197183099,90.9950900163666,89.9644012944984,92.0496688741722,3.39031157508797,3.02016960164143,4.44309720363395,0.613505597198624,0.929068447152726,0.597297520859813,1.02862041286683,1.01696937259164,1.04054151036694
ET,ET,76.668714711115,74.9088490697432,78.5607476635514,96.5799434462235,95.7468409950338,97.430583501006,93.0098199672668,91.9563106796117,94.0877483443708,1.39920013612515,1.20754899474157,2.5210096315578,0.258380685728154,0.542672645921819,0.334094918664138,0.421290075411574,0.416518181353512,0.426172576285548
ET,MLP,73.84740170421,74.2554990378818,73.5233644859813,96.0633437049013,94.6623040993014,97.5110663983903,92.1931260229132,91.1488673139159,93.2615894039735,2.18699369925635,2.37188098674194,3.11666479445564,0.457153636011307,0.634858635537036,0.665904788082173,0.737224591132907,0.728874150780272,0.745768584738755
MLP,RF,71.8151593418542,72.2725214918864,71.4392523364486,95.6930464110834,94.2824549830652,97.1509054325956,91.5351882160393,90.4983818770226,92.5960264900662,1.9634265820774,2.36205800206465,2.68704184995278,0.403260075984584,0.538314027672568,0.669581913607709,0.664847159399232,0.657316528143903,0.672552341710152
MLP,DT,65.7710361128016,67.2044395936967,64.6542056074766,94.6404334436128,93.015173831671,96.3400402414487,89.6873977086743,88.6715210355987,90.726821192053,3.22260608288444,3.2388537747565,5.30225389906659,0.605184439965608,1.10941921803063,1.00551092926241,0.975838574204511,0.964785386470802,0.987147961653899
MLP,ET,73.1812494409478,72.4255734376431,74,95.8373022277932,94.7451560535285,96.9577464788732,91.8265139116203,90.7864077669903,92.8907284768212,1.71174711253905,1.92884333199197,2.32475578826322,0.372165419891229,0.493494105499773,0.546069193298929,0.598140897746434,0.591365839034097,0.605072994243497
MLP,MLP,71.4072924535336,71.9046870135281,71.0373831775701,95.5715381301593,94.1628504384119,97.0301810865191,91.366612111293,90.331715210356,92.4254966887417,2.41756845137282,2.69825109690478,3.56978762696513,0.473789401584232,0.718048498758398,0.773075830440134,0.783335190820305,0.774462462121694,0.792413578793389
RF,XGB,71.6573735887587,73.1109951233355,70.2803738317757,95.8400449131461,94.1569451071327,97.5855130784708,91.6857610474632,90.6472491909385,92.7483443708609,0.882977536092941,1.5411349091268,0.915697100105861,0.179634466702064,0.165884527222465,0.381763902636021,0.317360383464243,0.313765686564163,0.321038401153398
RF,NB,61.2979085300346,64.4438081050373,58.5046728971963,94.3407706468442,92.188506197421,96.5995975855131,88.8216039279869,87.8155339805825,89.8509933774834,0.93467915900105,1.10884961962903,2.01314572229327,0.150209413542376,0.42114366657741,0.444936506790667,0.232036773793087,0.229408525546244,0.234725941701291
DT,XGB,71.5765460792052,71.9550011941476,71.214953271028,95.5507982018332,94.1430924203389,97.0020120724346,91.3747954173486,90.3398058252427,92.4337748344371,1.10411650361606,0.887479915388194,1.60791126486778,0.254828320616381,0.390475790790763,0.210066529354338,0.373574867774576,0.369343437233441,0.377904377831566
DT,NB,62.5863205972554,62.0137893811906,63.1775700934579,94.155230060582,93.0460320477103,95.2917505030181,88.5761047463175,87.5728155339806,89.6026490066225,0.845203611763859,0.42683236610325,1.33484643524165,0.115912188459763,0.2575965474139,0.098571015806165,0.204418919751171,0.202103495093804,0.206788013191999
ET,XGB,71.3618384608656,72.6796226332206,70.0934579439252,95.8093946158295,94.1530976270946,97.5251509054326,91.6039279869067,90.5663430420712,92.6655629139073,0.296456841946721,0.616051231352753,0,0.081748903647775,0.054327989634614,0.157147880802947,0.127827326937917,0.126379444593962,0.129308769468653
ET,NB,61.4596286964479,64.6743054973807,58.5981308411215,94.3615960845706,92.1910109627454,96.6398390342052,88.8707037643208,87.8640776699029,89.9006622516556,0.680817884903181,0.933427137670844,1.72581171145976,0.10143233472763,0.386279002792759,0.371553024398783,0.146387428968892,0.144729318932023,0.148083972019854
MLP,XGB,69.9541970124754,70.5189490895333,69.4392523364486,95.4436374529913,93.9936308331812,96.9416498993964,91.0147299509002,89.9838187702265,92.0695364238411,1.06239745335474,1.1762138523382,1.91759668492366,0.195458139006098,0.360914506145216,0.429661096661223,0.32280004784478,0.319143736623238,0.326541108001922
MLP,NB,62.7003195045412,66.6850974462661,59.3457943925234,94.4408674894666,92.1298934529166,96.8812877263581,89.1980360065466,88.1877022653721,90.2317880794702,2.25533960067744,1.13588423452152,4.22632488022244,0.262914563015386,0.845356039198899,0.577923807498796,0.414046174817468,0.409356331413381,0.418844723201111
XGB,RF,73.6908565918894,72.7999931639369,74.6728971962617,95.1454549778699,93.4679483733174,96.9014084507042,91.9148936170213,90.873786407767,92.9801324503311,1.14448699031853,2.43908478820812,1.21495327102804,0.762206709972079,1.47932969975332,0.65631816620926,0.518591800908505,0.512717783746112,0.524601970786584
